Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1968,1968,hg/ha,82353,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1969,1969,hg/ha,85294,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1970,1970,hg/ha,81667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1971,1971,hg/ha,83333,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1972,1972,hg/ha,86111,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1973,1973,hg/ha,88889,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1974,1974,hg/ha,88889,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1975,1975,hg/ha,88889,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1976,1976,hg/ha,89444,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1977,1977,hg/ha,90000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1978,1978,hg/ha,90000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1979,1979,hg/ha,90000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1980,1980,hg/ha,91667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1981,1981,hg/ha,91667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1982,1982,hg/ha,91667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1983,1983,hg/ha,91667,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1984,1984,hg/ha,89474,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1985,1985,hg/ha,89474,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1986,1986,hg/ha,89474,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1987,1987,hg/ha,89474,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1988,1988,hg/ha,89474,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1989,1989,hg/ha,86842,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1990,1990,hg/ha,89342,I,Imputed value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1991,1991,hg/ha,83215,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1992,1992,hg/ha,90000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1993,1993,hg/ha,88095,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1994,1994,hg/ha,83430,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1995,1995,hg/ha,81527,E,Estimated value
QCL,Crops and livestock products,24,Angola,5419,Yield,1530,Sweet potatoes,1996,1996,hg/ha,85455,E,Estimated value
